citation,document_number,end_page,html_url,pdf_url,type,subtype,publication_date,signing_date,start_page,title,disposition_notes,executive_order_number
81 FR 90181, 2016-30101,90182,https://www.federalregister.gov/documents/2016/12/13/2016-30101/relating-to-the-implementation-of-the-convention-on-the-international-recovery-of-child-support-and,https://www.govinfo.gov/content/pkg/FR-2016-12-13/pdf/2016-30101.pdf,Presidential Document,Executive Order,12/13/2016,2016-12-08,90181,Relating to the Implementation of the Convention on the International Recovery of Child Support and Other Forms of Family Maintenance,"",13752
81 FR 96329, 2016-31792,96330,https://www.federalregister.gov/documents/2016/12/30/2016-31792/providing-an-order-of-succession-within-the-department-of-labor,https://www.govinfo.gov/content/pkg/FR-2016-12-30/pdf/2016-31792.pdf,Presidential Document,Executive Order,12/30/2016,2016-12-23,96329,Providing an Order of Succession Within the Department of Labor,"",13755
82 FR 1, 2016-31922,3,https://www.federalregister.gov/documents/2017/01/03/2016-31922/taking-additional-steps-to-address-the-national-emergency-with-respect-to-significant-malicious,https://www.govinfo.gov/content/pkg/FR-2017-01-03/pdf/2016-31922.pdf,Presidential Document,Executive Order,01/03/2017,2016-12-28,1,Taking Additional Steps to Address the National Emergency With Respect to Significant Malicious Cyber- Enabled Activities,"Amends: EO 13694, April 1, 2015
See: EO 14144, January 16, 2025; EO 14306, June 6, 2025",13757
82 FR 9333, 2017-02450,9338,https://www.federalregister.gov/documents/2017/02/03/2017-02450/ethics-commitments-by-executive-branch-appointees,https://www.govinfo.gov/content/pkg/FR-2017-02-03/pdf/2017-02450.pdf,Presidential Document,Executive Order,02/03/2017,2017-01-28,9333,Ethics Commitments by Executive Branch Appointees,"Supersedes: EO 13490, January 21, 2009",13770
82 FR 9339, 2017-02451,9341,https://www.federalregister.gov/documents/2017/02/03/2017-02451/reducing-regulation-and-controlling-regulatory-costs,https://www.govinfo.gov/content/pkg/FR-2017-02-03/pdf/2017-02451.pdf,Presidential Document,Executive Order,02/03/2017,2017-01-30,9339,Reducing Regulation and Controlling Regulatory Costs,"See: EO 12866, September 30, 1993; EO 13777, February 24, 2017; EO 13782, March 27, 2017; EO 13790, April 25, 2017; EO 13817, December 20, 2017
 Revoked by: EO 13992, January 20, 2021",13771
82 FR 19317, 2017-08586,19318,https://www.federalregister.gov/documents/2017/04/26/2017-08586/identifying-and-reducing-tax-regulatory-burdens,https://www.govinfo.gov/content/pkg/FR-2017-04-26/pdf/2017-08586.pdf,Presidential Document,Executive Order,04/26/2017,2017-04-21,19317,Identifying and Reducing Tax Regulatory Burdens,"See: EO 12866, September 30, 1993",13789
82 FR 18837, 2017-08311,18839,https://www.federalregister.gov/documents/2017/04/21/2017-08311/buy-american-and-hire-american,https://www.govinfo.gov/content/pkg/FR-2017-04-21/pdf/2017-08311.pdf,Presidential Document,Executive Order,04/21/2017,2017-04-18,18837,Buy American and Hire American,"See: EO 13797, April 29, 2017; Revoked by: EO 14005, January 25, 2021",13788
82 FR 20819, 2017-09156,20820,https://www.federalregister.gov/documents/2017/05/04/2017-09156/addressing-trade-agreement-violations-and-abuses,https://www.govinfo.gov/content/pkg/FR-2017-05-04/pdf/2017-09156.pdf,Presidential Document,Executive Order,05/04/2017,2017-04-29,20819,Addressing Trade Agreement Violations and Abuses,"",13796
82 FR 16283, 2017-06716,16285,https://www.federalregister.gov/documents/2017/04/03/2017-06716/establishing-the-presidents-commission-on-combating-drug-addiction-and-the-opioid-crisis,https://www.govinfo.gov/content/pkg/FR-2017-04-03/pdf/2017-06716.pdf,Presidential Document,Executive Order,04/03/2017,2017-03-29,16283,Establishing the President's Commission on Combating Drug Addiction and the Opioid Crisis,"",13784
82 FR 46363, 2017-21555,46365,https://www.federalregister.gov/documents/2017/10/04/2017-21555/continuance-of-certain-federal-advisory-committees,https://www.govinfo.gov/content/pkg/FR-2017-10-04/pdf/2017-21555.pdf,Presidential Document,Executive Order,10/04/2017,2017-09-29,46363,Continuance of Certain Federal Advisory Committees,"Supersedes: EO 13708, September 30, 2015 Revokes: EO 13805, July 19, 2017",13811
82 FR 46367, 2017-21559,46368,https://www.federalregister.gov/documents/2017/10/04/2017-21559/revocation-of-executive-order-creating-labor--management-forums,https://www.govinfo.gov/content/pkg/FR-2017-10-04/pdf/2017-21559.pdf,Presidential Document,Executive Order,10/04/2017,2017-09-29,46367,Revocation of Executive Order Creating Labor- Management Forums,"Revokes: EO 13522, December 9, 2009; EO 13708, September 30, 2015
Revoked by: EO 14119, March 6, 2024 ",13812
82 FR 10691, 2017-03113,10693,https://www.federalregister.gov/documents/2017/02/14/2017-03113/enforcing-federal-law-with-respect-to-transnational-criminal-organizations-and-preventing,https://www.govinfo.gov/content/pkg/FR-2017-02-14/pdf/2017-03113.pdf,Presidential Document,Executive Order,02/14/2017,2017-02-09,10691,Enforcing Federal Law With Respect to Transnational Criminal Organizations and Preventing International Trafficking,"",13773
82 FR 10695, 2017-03115,10696,https://www.federalregister.gov/documents/2017/02/14/2017-03115/preventing-violence-against-federal-state-tribal-and-local-law-enforcement-officers,https://www.govinfo.gov/content/pkg/FR-2017-02-14/pdf/2017-03115.pdf,Presidential Document,Executive Order,02/14/2017,2017-02-09,10695,"Preventing Violence Against Federal, State, Tribal, and Local Law Enforcement Officers","",13774
82 FR 10697, 2017-03116,10698,https://www.federalregister.gov/documents/2017/02/14/2017-03116/providing-an-order-of-succession-within-the-department-of-justice,https://www.govinfo.gov/content/pkg/FR-2017-02-14/pdf/2017-03116.pdf,Presidential Document,Executive Order,02/14/2017,2017-02-09,10697,Providing an Order of Succession Within the Department of Justice,"Revokes: EO 13762, January 13, 2017
Revoked by: EO 13787, March 31, 2017",13775
82 FR 10699, 2017-03118,10700,https://www.federalregister.gov/documents/2017/02/14/2017-03118/task-force-on-crime-reduction-and-public-safety,https://www.govinfo.gov/content/pkg/FR-2017-02-14/pdf/2017-03118.pdf,Presidential Document,Executive Order,02/14/2017,2017-02-09,10699,Task Force on Crime Reduction and Public Safety,"",13776
82 FR 16719, 2017-06967,16720,https://www.federalregister.gov/documents/2017/04/05/2017-06967/establishing-enhanced-collection-and-enforcement-of-antidumping-and-countervailing-duties-and,https://www.govinfo.gov/content/pkg/FR-2017-04-05/pdf/2017-06967.pdf,Presidential Document,Executive Order,04/05/2017,2017-03-31,16719,Establishing Enhanced Collection and Enforcement of Antidumping and Countervailing Duties and Violations of Trade and Customs Laws,"",13785
82 FR 16723, 2017-06971,16724,https://www.federalregister.gov/documents/2017/04/05/2017-06971/providing-an-order-of-succession-within-the-department-of-justice,https://www.govinfo.gov/content/pkg/FR-2017-04-05/pdf/2017-06971.pdf,Presidential Document,Executive Order,04/05/2017,2017-03-31,16723,Providing an Order of Succession Within the Department of Justice,"Revokes: EO 13775, February 9, 2017
Revoked by: EO 14136 January 3, 2025",13787
82 FR 20811, 2017-09083,20813,https://www.federalregister.gov/documents/2017/05/03/2017-09083/establishment-of-the-american-technology-council,https://www.govinfo.gov/content/pkg/FR-2017-05-03/pdf/2017-09083.pdf,Presidential Document,Executive Order,05/03/2017,2017-04-28,20811,Establishment of the American Technology Council,"",13794
82 FR 20427, 2017-08905,20428,https://www.federalregister.gov/documents/2017/05/01/2017-08905/enforcing-statutory-prohibitions-on-federal-control-of-education,https://www.govinfo.gov/content/pkg/FR-2017-05-01/pdf/2017-08905.pdf,Presidential Document,Executive Order,05/01/2017,2017-04-26,20427,Enforcing Statutory Prohibitions on Federal Control of Education,"",13791
82 FR 12499, 2017-04357,12502,https://www.federalregister.gov/documents/2017/03/03/2017-04357/white-house-initiative-to-promote-excellence-and-innovation-at-historically-black-colleges-and,https://www.govinfo.gov/content/pkg/FR-2017-03-03/pdf/2017-04357.pdf,Presidential Document,Executive Order,03/03/2017,2017-02-28,12499,White House Initiative To Promote Excellence and Innovation at Historically Black Colleges and Universities,"Revokes: EO 13532, February 26, 2010
Continued by: EO 13811, September 29, 2017 
Superseded by: EP 14041, September 3, 2021",13779
82 FR 12285, 2017-04107,12287,https://www.federalregister.gov/documents/2017/03/01/2017-04107/enforcing-the-regulatory-reform-agenda,https://www.govinfo.gov/content/pkg/FR-2017-03-01/pdf/2017-04107.pdf,Presidential Document,Executive Order,03/01/2017,2017-02-24,12285,Enforcing the Regulatory Reform Agenda,"See: EO 12866, September 30, 1993; EO 13563, January 18, 2011; EO 13771, January 30, 2017 
Revoked by: EO 13992, January 20, 2021",13777
82 FR 8793, 2017-02095,8797,https://www.federalregister.gov/documents/2017/01/30/2017-02095/border-security-and-immigration-enforcement-improvements,https://www.govinfo.gov/content/pkg/FR-2017-01-30/pdf/2017-02095.pdf,Presidential Document,Executive Order,01/30/2017,2017-01-25,8793,Border Security and Immigration Enforcement Improvements,"Revoked by: EO 14010, February 2, 2021",13767
82 FR 8657, 2017-02029,8658,https://www.federalregister.gov/documents/2017/01/30/2017-02029/expediting-environmental-reviews-and-approvals-for-high-priority-infrastructure-projects,https://www.govinfo.gov/content/pkg/FR-2017-01-30/pdf/2017-02029.pdf,Presidential Document,Executive Order,01/30/2017,2017-01-24,8657,Expediting Environmental Reviews and Approvals for High Priority Infrastructure Projects,"See: EO 13807, August 15, 2017; Revoked by: EO 13990, January 20, 2021",13766
82 FR 8351, 2017-01799,8352,https://www.federalregister.gov/documents/2017/01/24/2017-01799/minimizing-the-economic-burden-of-the-patient-protection-and-affordable-care-act-pending-repeal,https://www.govinfo.gov/content/pkg/FR-2017-01-24/pdf/2017-01799.pdf,Presidential Document,Executive Order,01/24/2017,2017-01-20,8351,Minimizing the Economic Burden of the Patient Protection and Affordable Care Act Pending Repeal,"Revoked by: EO 14009, January 28, 2021",13765
82 FR 8115, 2017-01623,8129,https://www.federalregister.gov/documents/2017/01/23/2017-01623/amending-the-civil-service-rules-executive-order-13488-and-executive-order-13467-to-modernize-the,https://www.govinfo.gov/content/pkg/FR-2017-01-23/pdf/2017-01623.pdf,Presidential Document,Executive Order,01/23/2017,2017-01-17,8115,"Amending the Civil Service Rules, Executive Order 13488, and Executive Order 13467 To Modernize the Executive Branch-Wide Governance Structure and Processes for Security Clearances, Suitability and Fitness for Employment, and Credentialing, and Related Matters","Amends: EO 13467, June 30, 2008; EO 13488, January 16, 2009",13764
82 FR 16093, 2017-06576,16097,https://www.federalregister.gov/documents/2017/03/31/2017-06576/promoting-energy-independence-and-economic-growth,https://www.govinfo.gov/content/pkg/FR-2017-03-31/pdf/2017-06576.pdf,Presidential Document,Executive Order,03/31/2017,2017-03-28,16093,Promoting Energy Independence and Economic Growth,"Revokes: EO 13653, November 1, 2013
See: EO 13790, April 25, 2017; EO 13817, December 20, 2017; Revoked by: EO 13990, January 20, 2021",13783
82 FR 15607, 2017-06382,15607,https://www.federalregister.gov/documents/2017/03/30/2017-06382/revocation-of-federal-contracting-executive-orders,https://www.govinfo.gov/content/pkg/FR-2017-03-30/pdf/2017-06382.pdf,Presidential Document,Executive Order,03/30/2017,2017-03-27,15607,Revocation of Federal Contracting Executive Orders,"Revokes: EO 13673, July 31, 2014; EO 13738, August 23, 2016
Revokes in part: EO 13683, December 11, 2014
See: EO 13771, January 30, 2017",13782
82 FR 5325, 2017-01169,5329,https://www.federalregister.gov/documents/2017/01/17/2017-01169/exclusions-from-the-federal-labor-management-relations-program,https://www.govinfo.gov/content/pkg/FR-2017-01-17/pdf/2017-01169.pdf,Presidential Document,Executive Order,01/17/2017,2017-01-12,5325,Exclusions From the Federal Labor-Management Relations Program,"Amends: EO 12171, November 19, 1979",13760
81 FR 88609, 2016-29519,88614,https://www.federalregister.gov/documents/2016/12/08/2016-29519/safeguarding-the-nation-from-the-impacts-of-invasive-species,https://www.govinfo.gov/content/pkg/FR-2016-12-08/pdf/2016-29519.pdf,Presidential Document,Executive Order,12/08/2016,2016-12-05,88609,Safeguarding the Nation From the Impacts of Invasive Species,"Amends: EO 13112, February 3, 1999",13751
82 FR 7619, 2017-01487,7620,https://www.federalregister.gov/documents/2017/01/19/2017-01487/providing-an-order-of-succession-within-the-department-of-justice,https://www.govinfo.gov/content/pkg/FR-2017-01-19/pdf/2017-01487.pdf,Presidential Document,Executive Order,01/19/2017,2017-01-13,7619,Providing an Order of Succession Within the Department of Justice,"Revokes: EO 13557, November 4, 2010
Revoked by: EO 13775, February 9, 2017",13762
86 FR 57313, 2021-22588,57318,https://www.federalregister.gov/documents/2021/10/14/2021-22588/white-house-initiative-on-advancing-educational-equity-excellence-and-economic-opportunity-for,https://www.govinfo.gov/content/pkg/FR-2021-10-14/pdf/2021-22588.pdf,Presidential Document,Executive Order,10/14/2021,2021-10-11,57313,"White House Initiative on Advancing Educational Equity, Excellence, and Economic Opportunity for Native Americans and Strengthening Tribal Colleges and Universities","Supersedes: EO 13592, December 2, 2011
See: EO 13647, June 26, 2013; EO 14091, February 16, 2023
Revoked by: EO 14148, January 20, 2025",14049
87 FR 4763, 2022-02027,4786,https://www.federalregister.gov/documents/2022/01/31/2022-02027/2022-amendments-to-the-manual-for-courts-martial-united-states,https://www.govinfo.gov/content/pkg/FR-2022-01-31/pdf/2022-02027.pdf,Presidential Document,Executive Order,01/31/2022,2022-01-26,4763,"2022 Amendments to the Manual for Courts-Martial, United States","See: EO 12473, April 13, 1984",14062
80 FR 71679, 2015-29403,71680,https://www.federalregister.gov/documents/2015/11/16/2015-29403/termination-of-emergency-with-respect-to-the-actions-and-policies-of-former-liberian-president,https://www.govinfo.gov/content/pkg/FR-2015-11-16/pdf/2015-29403.pdf,Presidential Document,Executive Order,11/16/2015,2015-11-12,71679,Termination of Emergency With Respect to the Actions and Policies of Former Liberian President Charles Taylor,"Revokes: EO 13348, July 22, 2004",13710
81 FR 76493, 2016-26753,76493,https://www.federalregister.gov/documents/2016/11/03/2016-26753/delegation-of-function-to-the-director-of-the-office-of-personnel-management,https://www.govinfo.gov/content/pkg/FR-2016-11-03/pdf/2016-26753.pdf,Presidential Document,Executive Order,11/03/2016,2016-10-31,76493,Delegation of Function to the Director of the Office of Personnel Management,"",13745
81 FR 33331, 2016-12579,33358,https://www.federalregister.gov/documents/2016/05/26/2016-12579/2016-amendments-to-the-manual-for-courts-martial-united-states,https://www.govinfo.gov/content/pkg/FR-2016-05-26/pdf/2016-12579.pdf,Presidential Document,Executive Order,05/26/2016,2016-05-20,33331,"2016 Amendments to the Manual for Courts-Martial, United States","See: EO 12473, April 13, 1984",13730
81 FR 42221, 2016-15542,42223,https://www.federalregister.gov/documents/2016/06/29/2016-15542/global-entrepreneurship,https://www.govinfo.gov/content/pkg/FR-2016-06-29/pdf/2016-15542.pdf,Presidential Document,Executive Order,06/29/2016,2016-06-24,42221,Global Entrepreneurship,"",13731
81 FR 14685, 2016-06250,14688,https://www.federalregister.gov/documents/2016/03/17/2016-06250/developing-an-integrated-global-engagement-center-to-support-government-wide-counterterrorism,https://www.govinfo.gov/content/pkg/FR-2016-03-17/pdf/2016-06250.pdf,Presidential Document,Executive Order,03/17/2016,2016-03-14,14685,Developing an Integrated Global Engagement Center To Support Government-wide Counterterrorism Communications Activities Directed Abroad and Revoking Executive Order 13584,"Revokes: EO 13584, September 9, 2011",13721
81 FR 19017, 2016-07703,19018,https://www.federalregister.gov/documents/2016/04/01/2016-07703/establishing-the-inherent-resolve-campaign-medal,https://www.govinfo.gov/content/pkg/FR-2016-04-01/pdf/2016-07703.pdf,Presidential Document,Executive Order,04/01/2016,2016-03-30,19017,Establishing the Inherent Resolve Campaign Medal,"See: EO 13289, March 12, 2003",13723
81 FR 22021, 2016-08713,22021,https://www.federalregister.gov/documents/2016/04/13/2016-08713/amending-executive-order-12137,https://www.govinfo.gov/content/pkg/FR-2016-04-13/pdf/2016-08713.pdf,Presidential Document,Executive Order,04/13/2016,2016-04-08,22021,Amending Executive Order 12137,"Amends: EO 12137, May 16, 1979",13724
81 FR 7441, 2016-03038,7444,https://www.federalregister.gov/documents/2016/02/12/2016-03038/commission-on-enhancing-national-cybersecurity,https://www.govinfo.gov/content/pkg/FR-2016-02-12/pdf/2016-03038.pdf,Presidential Document,Executive Order,02/12/2016,2016-02-09,7441,Commission on Enhancing National Cybersecurity,"",13718
81 FR 7687, 2016-03141,7689,https://www.federalregister.gov/documents/2016/02/12/2016-03141/establishment-of-the-federal-privacy-council,https://www.govinfo.gov/content/pkg/FR-2016-02-12/pdf/2016-03141.pdf,Presidential Document,Executive Order,02/12/2016,2016-02-09,7687,Establishment of the Federal Privacy Council,"",13719
80 FR 73633, 2015-30191,73636,https://www.federalregister.gov/documents/2015/11/25/2015-30191/blocking-property-of-certain-persons-contributing-to-the-situation-in-burundi,https://www.govinfo.gov/content/pkg/FR-2015-11-25/pdf/2015-30191.pdf,Presidential Document,Executive Order,11/25/2015,2015-11-22,73633,Blocking Property of Certain Persons Contributing to the Situation in Burundi,"See: Proc. 8693, July 24, 2011 (76 FR 44751) 
Revoked by: EO 14054, November 18, 2021",13712
86 FR 50439, 2021-19578,50441,https://www.federalregister.gov/documents/2021/09/09/2021-19578/declassification-reviews-of-certain-documents-concerning-the-terrorist-attacks-of-september-11-2001,https://www.govinfo.gov/content/pkg/FR-2021-09-09/pdf/2021-19578.pdf,Presidential Document,Executive Order,09/09/2021,2021-09-03,50439,"Declassification Reviews of Certain Documents Concerning the Terrorist Attacks of September 11, 2001","See: EO 13526, December 29, 2009",14040
80 FR 6425, 2015-02379,6428,https://www.federalregister.gov/documents/2015/02/04/2015-02379/establishing-a-federal-flood-risk-management-standard-and-a-process-for-further-soliciting-and,https://www.govinfo.gov/content/pkg/FR-2015-02-04/pdf/2015-02379.pdf,Presidential Document,Executive Order,02/04/2015,2015-01-30,6425,Establishing a Federal Flood Risk Management Standard and a Process for Further Soliciting and Considering Stakeholder Input,"See: EO 11988 May 24, 1977
Revoked by: EO 13807, August 15, 2017
Reinstated by: EO 14030, May 20, 2021",13690
80 FR 3451, 2015-01255,3453,https://www.federalregister.gov/documents/2015/01/22/2015-01255/federal-support-for-local-law-enforcement-equipment-acquisition,https://www.govinfo.gov/content/pkg/FR-2015-01-22/pdf/2015-01255.pdf,Presidential Document,Executive Order,01/22/2015,2015-01-16,3451,Federal Support for Local Law Enforcement Equipment Acquisition,"Revoked by: EO 13809, August 28, 2017",13688
81 FR 87391, 2016-29165,87392,https://www.federalregister.gov/documents/2016/12/02/2016-29165/providing-for-the-appointment-in-the-competitive-service-of-certain-employees-of-the-foreign-service,https://www.govinfo.gov/content/pkg/FR-2016-12-02/pdf/2016-29165.pdf,Presidential Document,Executive Order,12/02/2016,2016-11-29,87391,Providing for the Appointment in the Competitive Service of Certain Employees of the Foreign Service,"See: EO 13597, January 19, 2012",13749
80 FR 12747, 2015-05677,12751,https://www.federalregister.gov/documents/2015/03/11/2015-05677/blocking-property-and-suspending-entry-of-certain-persons-contributing-to-the-situation-in-venezuela,https://www.govinfo.gov/content/pkg/FR-2015-03-11/pdf/2015-05677.pdf,Presidential Document,Executive Order,03/11/2015,2015-03-08,12747,Blocking Property and Suspending Entry of Certain Persons Contributing to the Situation in Venezuela,"See: EO 13808, August 24, 2017; EO 14245, March 24, 2025",13692
80 FR 43903, 2015-18292,43905,https://www.federalregister.gov/documents/2015/07/23/2015-18292/delegation-of-certain-authorities-and-assignment-of-certain-functions-under-the-bipartisan,https://www.govinfo.gov/content/pkg/FR-2015-07-23/pdf/2015-18292.pdf,Presidential Document,Executive Order,07/23/2015,2015-07-17,43903,Delegation of Certain Authorities and Assignment of Certain Functions Under the Bipartisan Congressional Trade Priorities and Accountability Act of 2015,"",13701
80 FR 46177, 2015-19183,46180,https://www.federalregister.gov/documents/2015/08/03/2015-19183/creating-a-national-strategic-computing-initiative,https://www.govinfo.gov/content/pkg/FR-2015-08-03/pdf/2015-19183.pdf,Presidential Document,Executive Order,08/03/2015,2015-07-29,46177,Creating a National Strategic Computing Initiative,"See: EO 12881, November 23, 1993",13702
80 FR 9349, 2015-03714,9353,https://www.federalregister.gov/documents/2015/02/20/2015-03714/promoting-private-sector-cybersecurity-information-sharing,https://www.govinfo.gov/content/pkg/FR-2015-02-20/pdf/2015-03714.pdf,Presidential Document,Executive Order,02/20/2015,2015-02-13,9349,Promoting Private Sector Cybersecurity Information Sharing,"Amends: EO 12829, January 6, 1993
See: EO 13549, August 18, 2010",13691
80 FR 37529, 2015-16334,37530,https://www.federalregister.gov/documents/2015/07/01/2015-16334/establishing-the-advisory-board-on-toxic-substances-and-worker-health,https://www.govinfo.gov/content/pkg/FR-2015-07-01/pdf/2015-16334.pdf,Presidential Document,Executive Order,07/01/2015,2015-06-26,37529,Establishing the Advisory Board on Toxic Substances and Worker Health,"See: EO 13179, December 7, 2000",13699
84 FR 59709, 2019-24288,59710,https://www.federalregister.gov/documents/2019/11/05/2019-24288/improving-federal-contractor-operations-by-revoking-executive-order-13495,https://www.govinfo.gov/content/pkg/FR-2019-11-05/pdf/2019-24288.pdf,Presidential Document,Executive Order,11/05/2019,2019-10-31,59709,Improving Federal Contractor Operations by Revoking Executive Order 13495,"Revokes: EO 13495, January 30, 2009 
Revoked by: EO 14055 of November 18, 2021",13897
84 FR 66059, 2019-26178,66061,https://www.federalregister.gov/documents/2019/12/02/2019-26178/establishing-the-task-force-on-missing-and-murdered-american-indians-and-alaska-natives,https://www.govinfo.gov/content/pkg/FR-2019-12-02/pdf/2019-26178.pdf,Presidential Document,Executive Order,12/02/2019,2019-11-26,66059,Establishing the Task Force on Missing and Murdered American Indians and Alaska Natives,"",13898
81 FR 68289, 2016-24066,68292,https://www.federalregister.gov/documents/2016/10/04/2016-24066/amending-executive-order-13467-to-establish-the-roles-and-responsibilities-of-the-national,https://www.govinfo.gov/content/pkg/FR-2016-10-04/pdf/2016-24066.pdf,Presidential Document,Executive Order,10/04/2016,2016-09-29,68289,Amending Executive Order 13467 To Establish the Roles and Responsibilities of the National Background Investigations Bureau and Related Matters,"Amends: EO 12171, November 19, 1979; EO 13467, June 30, 2008",13741
81 FR 70593, 2016-24847,70594,https://www.federalregister.gov/documents/2016/10/12/2016-24847/termination-of-emergency-with-respect-to-the-actions-and-policies-of-the-government-of-burma,https://www.govinfo.gov/content/pkg/FR-2016-10-12/pdf/2016-24847.pdf,Presidential Document,Executive Order,10/12/2016,2016-10-07,70593,Termination of Emergency With Respect to the Actions and Policies of the Government of Burma,"Revokes: EO 13047, May 20, 1997; EO 13310, July 28, 2003; EO 13448, October 18, 2007; EO 13464, April 30, 2008; EO 13619, July 11, 2012
See: EO 13651, August 6, 2013; Proc. 8693",13742
81 FR 65175, 2016-22962,65264,https://www.federalregister.gov/documents/2016/09/22/2016-22962/2016-amendments-to-the-manual-for-courts-martial-united-states,https://www.govinfo.gov/content/pkg/FR-2016-09-22/pdf/2016-22962.pdf,Presidential Document,Executive Order,09/22/2016,2016-09-16,65175,"2016 Amendments to the Manual for Courts-Martial, United States","Amends: EO 12473, April 13, 1984",13740
81 FR 83619, 2016-28203,83622,https://www.federalregister.gov/documents/2016/11/21/2016-28203/establishing-a-community-solutions-council,https://www.govinfo.gov/content/pkg/FR-2016-11-21/pdf/2016-28203.pdf,Presidential Document,Executive Order,11/21/2016,2016-11-16,83619,Establishing a Community Solutions Council,"Revokes: EO 13602, March 15, 2012
Supersedes: EO 13560, December 14, 2010",13748
86 FR 58551, 2021-23224,58557,https://www.federalregister.gov/documents/2021/10/22/2021-23224/white-house-initiative-on-advancing-educational-equity-excellence-and-economic-opportunity-for-black,https://www.govinfo.gov/content/pkg/FR-2021-10-22/pdf/2021-23224.pdf,Presidential Document,Executive Order,10/22/2021,2021-10-19,58551,"White House Initiative on Advancing Educational Equity, Excellence, and Economic Opportunity for Black Americans","Supersedes: EO 13621, July 26, 2012
See: EO 14091, February 16, 2023
Revoked by: EO 14148, January 20, 2025",14050
